"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Usp18_32270",1319.22585087393,3.82952576425951,0.145914020471998,26.2450842754651,8.13351520415214e-152,1.35536897361991e-147
"Usp18_67659",414.595907285932,3.73986387178871,0.167985123049555,22.2630659423659,8.42817053428896e-110,7.02235168916956e-106
"Ifit1_29859",862.328552057688,5.00036500105611,0.225955295821068,22.1298862807617,1.62987717981341e-108,9.05342444147019e-105
"Oasl2_67419",1437.61819264863,3.71016396966983,0.190458341493367,19.4801862736952,1.61690189436568e-84,6.73601329192743e-81
"Gbp5_77887",600.721939203634,5.27228703961946,0.276998207403347,19.0336503945035,8.97755452273393e-81,2.99203937133676e-77
"Oasl2_67043",292.448231086899,3.89848414110204,0.209643506023733,18.5957782096084,3.47631009795824e-77,9.65487191206269e-74
"Rnf213_57840",1052.04542800476,3.16805158645468,0.173121156552482,18.2996211990663,8.33262089499876e-75,1.98363992277513e-71
"Cmpk2_70664",429.423228137031,4.59248829290226,0.25189158413628,18.2320036957551,2.8758882428059e-74,5.99047520976468e-71
"Cmpk2_29189",695.199696610886,4.26413577503838,0.238627936225516,17.8693904933601,2.04213365941014e-71,3.58708549126749e-68
"Eif2ak2_30238",1585.60714170763,2.67197445336216,0.149552610975741,17.8664513840924,2.1525957100741e-71,3.58708549126749e-68
"Slfn3_82374",2359.97428083807,5.24495390626654,0.295656954601506,17.7399984158527,2.05940822882209e-70,3.11981624773557e-67
"Junb_57286",458.248064715264,2.29641061204669,0.130360163107483,17.6158924421818,1.86031977772153e-69,2.58336406466263e-66
"Cd274_61345",1475.37046981854,3.29033645916489,0.189139048826365,17.3963889507846,8.78706363369926e-68,1.12636637224588e-64
"Ifit2_29861",961.132024421689,4.43610165060696,0.256925102833526,17.2661277612929,8.46341372104945e-67,1.00738804462549e-63
"Isg15_29722",2032.6373050906,5.16642964038068,0.307799796878811,16.7850326503459,3.14056570964824e-63,3.48895913237189e-60
"Gbp3_80156",2357.65890381474,3.89822665619056,0.237765868827968,16.3952323157495,2.06848425758168e-60,2.15432635427132e-57
"Mxd1_69048",619.605888945106,2.49932258507923,0.154794821355407,16.1460348814953,1.21100251558918e-58,1.18706740704577e-55
"Dtx3l_58986",301.764984811375,2.79712918794573,0.180755829174331,15.4746278486434,5.14700558644152e-54,4.76498339402564e-51
"Tnf_32215",204.118916697841,4.35034136499381,0.288576821815591,15.0751586271672,2.35948519041867e-51,2.06939269542825e-48
"Znfx1_76964",2359.30457495525,2.29543162891464,0.154226302291097,14.8835289105363,4.21659231314943e-50,3.51326471531611e-47
"Stat1_63360",2284.44126663382,2.44688088857689,0.166486569920833,14.6971668029464,6.72135893312916e-49,5.33355834579354e-46
"Parp14_60994",6368.65403666655,2.89267701151662,0.197534209425165,14.643929372712,1.47303286351892e-48,1.11575543807633e-45
"Irf7_75384",96.8278698681739,4.15867551696865,0.284060896231577,14.6400844753315,1.55874445559959e-48,1.12934424383093e-45
"Slfn4_31065",2300.24860848924,6.40770112398993,0.438536276834386,14.6115645671198,2.3701185725447e-48,1.6456523288702e-45
"Tnfaip3_67100",181.747044663431,3.34939279658412,0.229837831298168,14.5728524223628,4.1806396187998e-48,2.7866471443072e-45
"Birc3_31711",317.791223402652,2.50663472390811,0.172308836599873,14.5473370569432,6.07211302374141e-48,3.89175736260103e-45
"Phf11d_30871",241.59351515285,2.70715987328417,0.187278653996882,14.4552505878713,2.32282877497511e-47,1.43361550763649e-44
"Socs3_79479",183.282928939085,3.21796565426919,0.225605352827339,14.2636937197672,3.68426147440321e-46,2.19266190033768e-43
"Gbp3_74734",149.900013569416,3.47425575993708,0.244075971442658,14.2343211394461,5.61051076970169e-46,3.22391556780376e-43
"Tnip1_64961",1075.45500374799,2.43214451278303,0.171240902254436,14.2030582691585,8.7699955517439e-46,4.87144019580868e-43
"Gbp2_76070",848.822916525193,3.42506070930378,0.241976315070522,14.1545287533847,1.75107632671869e-45,9.41288255110977e-43
"Gbp3_32192",258.545595643096,3.70141418694324,0.26193304318531,14.1311464255566,2.44137223716112e-45,1.27134459250165e-42
"Eif2ak2_65920",212.42497976809,2.50059411551584,0.177199042292498,14.1117812103531,3.21357289851185e-45,1.62275693275156e-42
"Trim30a_56089",1656.46520806189,2.89196703362938,0.205488125138221,14.0736455290743,5.51514566724764e-45,2.70307021761808e-42
"Daxx_31547",3596.94024954999,2.42645541534039,0.174096674699073,13.9374024204341,3.75354314845826e-44,1.78711551502596e-41
"Phf11d_80733",812.302326299844,2.70162572130552,0.194133793280974,13.9163083131817,5.04286422680871e-44,2.33428581876501e-41
"Gbp2b_54964",200.169011671834,3.76839029783714,0.273580601697498,13.7743329550971,3.63727094182339e-43,1.63814818850121e-40
"Marcksl1_62532",178.20546117609,3.73808646411446,0.271991434138907,13.7433977505535,5.57946117211131e-43,2.44674055189639e-40
"Vcan_73200",128.493565872709,3.48095793901195,0.253352673977378,13.7395745004956,5.88204623362275e-43,2.51329278043819e-40
"Stat1_32116",368.619221828691,2.58624705150307,0.188656418602316,13.7087678790025,8.99727290156603e-43,3.74826389079241e-40
"Rtp4_60626",347.813192134945,3.44249712939056,0.25169761074072,13.6771148492815,1.39103366487871e-42,5.65370365647287e-40
"F830016B08Rik_53940",135.818652241613,4.44758807496033,0.327358610543379,13.5862871227912,4.82966287987817e-42,1.91622624357833e-39
"Il4i1_31821",1090.23386715287,5.44407290140238,0.401478231969572,13.5600699313007,6.90702087144315e-42,2.67671153027276e-39
"Daxx_72797",284.531339170342,3.01171540520139,0.222237163415904,13.551808162549,7.73022093369494e-42,2.92764549179756e-39
"Csf2_61958",112.2839556026,4.85581471904009,0.358532011942378,13.5436015677744,8.64444825783188e-42,3.20113523930023e-39
"Gbp2_30699",2519.05376961532,2.96768156949013,0.219868932201766,13.4975029885841,1.61766484031077e-41,5.86016671716058e-39
"Parp9_79423",205.82832728058,2.35334179500561,0.176637223379418,13.3230230298096,1.70078679348528e-40,5.9963554566406e-38
"Sod2_30063",1010.6029572097,1.88992564478392,0.141866376561925,13.3218715426834,1.72722672778894e-40,5.9963554566406e-38
"Gbp3_70521",156.376360148591,3.89174890544678,0.292565721042798,13.302135641781,2.24949949322683e-40,7.65013460308814e-38
"Batf_54960",151.606293840607,2.5410494552796,0.191846535698376,13.2452193938736,4.80874543902702e-40,1.60265867991893e-37
"Tnfaip3_30780",221.074809082606,3.16465990004507,0.242503980056535,13.0499297343792,6.36060388590235e-39,2.07829614028778e-36
"Daxx_77894",263.648637956321,2.9590974624911,0.226816029915039,13.046244851387,6.67576084600664e-39,2.13932459111259e-36
"Mefv_57253",106.169604300581,4.68179326961246,0.361124286215877,12.9644929690874,1.94512313623758e-38,6.11576074382321e-36
"Tifa_56814",370.967963673907,2.26296186840387,0.17541399882427,12.9006914132942,4.46076771511791e-38,1.37655987416157e-35
"Zc3h12a_61563",418.86327960689,2.53419988891329,0.196732143748844,12.8814734624584,5.72323636108368e-38,1.73403655856543e-35
"Icam1_29910",965.686168017529,2.36071864363862,0.184201788241863,12.81593770707,1.33514454492702e-37,3.97300869583283e-35
"Ifi47_76702",412.414345159976,3.30492674841978,0.260954538183733,12.6647605802236,9.27027625676566e-37,2.71017339548672e-34
"Nampt_76993",295.795228938126,1.92057007118138,0.151905252100623,12.6432104527182,1.21970067904132e-36,3.50432622681804e-34
"Arid5a_72315",329.795316568046,2.35349964626467,0.1862984668217,12.6329523072088,1.38964815223397e-36,3.92493166251302e-34
"Tor3a_68066",228.029728925862,2.56533268082103,0.203640364405421,12.5973683474352,2.18307469174953e-36,6.06312611055238e-34
"Ifit2_65060",476.645769760753,5.24090959923525,0.420238380475526,12.4712778335592,1.07094771561582e-35,2.9256184808233e-33
"Daxx_80370",296.295752357243,3.0118630227353,0.242434344412994,12.4234172762441,1.95048469643587e-35,5.24239951313021e-33
"Iigp1_63699",542.414865236548,3.89340932013474,0.313447168331147,12.4212617420154,2.00376121798887e-35,5.30010745024866e-33
"Ifit3b_56319",59.2241286130847,5.10883894787829,0.411739554016207,12.4079382173645,2.36668909272233e-35,6.16226672517575e-33
"Irgm1_60585",1387.68289195316,2.8554101750656,0.232188601884672,12.2978051113977,9.30688582181235e-35,2.38599915899509e-32
"AW112010_29636",3681.47074354192,3.31205607104063,0.270383477091752,12.2494765829079,1.69083656410843e-34,4.2691061370156e-32
"Ifit1_63654",647.756441581963,5.50349452274415,0.450818970909063,12.2077704752453,2.82525345531638e-34,7.02686919095406e-32
"Stat2_70852",313.244409901691,2.26228335130241,0.18792063771774,12.0385040130632,2.22962223678408e-33,5.46388602261322e-31
"Il4i1_71608",238.707288430803,5.76218320813407,0.479838451273812,12.0085899594695,3.20259004029741e-33,7.7344870190603e-31
"Trafd1_70537",109.825169070273,2.31808594352749,0.193550336656748,11.976656737304,4.70935008833128e-33,1.12109442674218e-30
"Cxcl10_29431",1765.43829237586,8.53840938498362,0.714655848336089,11.9475820492665,6.68417320998307e-33,1.56880369536842e-30
"Gch1_54668",206.961838597306,2.30745215523209,0.193468162175743,11.9267797310032,8.58299197442338e-33,1.98648580919154e-30
"Gbp2_74664",1537.10378744069,2.97461878932362,0.249633821840751,11.9159285684502,9.77708094607971e-33,2.23185310802017e-30
"Tnfaip2_69251",3616.45156925436,2.59518762826728,0.221923248528743,11.6940773239049,1.36664435504089e-31,3.07753534221641e-29
"Ddx60_58915",363.456571876663,2.94344564905227,0.252496638305713,11.6573656932749,2.10453151472397e-31,4.6759884215147e-29
"Socs3_31487",319.957062706926,3.04143835545027,0.261189289525128,11.6445753230538,2.44536720029388e-31,5.36178934548647e-29
"Tgtp1_76294",1391.11567272184,3.48174007007363,0.30029693270571,11.5943244531429,4.40326219233135e-31,9.52934560688436e-29
"Irf7_29884",124.591028605135,3.78252021999942,0.327951757093713,11.5337702518195,8.91520474338523e-31,1.90465348517656e-28
"Selp_72839",167.768239436561,3.73547264875569,0.324430141731358,11.5139506730815,1.12217198566542e-30,2.36707265432007e-28
"Nfkbia_55629",489.771295859156,2.30486005575104,0.201535263454045,11.4365099995347,2.74715372637329e-30,5.72232121203556e-28
"Mt2_76492",1726.76234024494,4.65749190543505,0.409092349990008,11.3849401132747,4.97023783978231e-30,1.02251905385349e-27
"Tnip3_58404",77.7402354970647,3.30777267431283,0.290758726689679,11.3763487410067,5.48483343988324e-30,1.11462517612457e-27
"Ncf4_69588",243.865988334862,1.78197394910739,0.157187636852758,11.3366037227,8.64341337533888e-30,1.73534747574274e-27
"Nfkbiz_60338",207.039407788628,1.99952073230119,0.17640534661365,11.3348079901478,8.82253731775061e-30,1.75022335551186e-27
"Ccl20_55130",1374.63644483269,5.99962029263879,0.533342999484259,11.2490841699252,2.34009173779671e-29,4.58768102572287e-27
