"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Tmem109_70229",351.492671116317,1.26812258011951,0.163778478069902,7.74291344665121,9.71641888499383e-15,1.61914404299537e-10
"Rhof_64396",58.5725768390409,1.47677977792956,0.221063963870947,6.6803279560828,2.38408117218483e-11,1.9864164326644e-07
"Plscr4_55764",178.952156239297,1.53494599911033,0.239397628446496,6.41170093902322,1.43904922353382e-10,7.99343875365588e-07
"Pip4k2a_67992",796.645971883325,0.826251957468362,0.129983913122819,6.35657088341121,2.0630726493964e-10,8.59476065738542e-07
"Zranb2_68671",739.913790581861,0.813162818811037,0.133027668062073,6.11273452099903,9.79382247326275e-10,3.26408515388901e-06
"Cul1_31957",896.522863335266,-0.706114957882532,0.12036183511553,-5.86660179453697,4.44817222393528e-09,1.23540569899429e-05
"Ppfibp1_75630",655.071973453434,1.41482223039162,0.248184312184165,5.70069162688152,1.19322315750018e-08,2.84055295665472e-05
"Mbnl1_30670",851.18586206602,-1.01596393684771,0.181124652845794,-5.60919742776638,2.03267036548092e-08,4.23405237129675e-05
"Atp5k_68198",1096.49478710608,1.10034700092546,0.198346935526904,5.54758760452951,2.8963804718973e-08,5.11613551461553e-05
"Gclm_29258",138.542498131366,1.09939039685665,0.198539555159378,5.53738722731657,3.07017253637514e-08,5.11613551461553e-05
"Igfbp7_80197",275.203516435299,1.379865071248,0.25083054721808,5.50118431168714,3.77248589445937e-08,5.23872541210591e-05
"Mt2_76492",1726.76234024494,2.16841434791335,0.393518569366871,5.51032280738896,3.58176214404236e-08,5.23872541210591e-05
"Hmox1_31505",57.9478793517263,2.12585683770603,0.396513860855748,5.36136828386794,8.25939352258746e-08,0.000105872718200306
"Mtus1_80286",1976.9399533947,-0.768656012760502,0.146445415586888,-5.24875435451545,1.53131102736617e-07,0.000159486043500186
"Plaur_63645",104.161949651078,1.17018212209764,0.222659536514336,5.25547722058742,1.47641127698704e-07,0.000159486043500186
"Stab1_67351",66.814118515737,1.53819265719634,0.292438861852824,5.25987773119725,1.44151220783561e-07,0.000159486043500186
"H2-K1_70796",1111.26621325601,1.15795434941178,0.22524224578241,5.1409288048495,2.73383638213946e-07,0.00025309249706651
"Micalcl_68721",197.063104629469,-0.836921420577787,0.162469173802878,-5.151262857982,2.58738242374527e-07,0.00025309249706651
"Slc34a2_74194",2870.05187588452,0.671649633043146,0.131219765404801,5.11850963131332,3.07959513737944e-07,0.000270096701943637
"Fosl1_30439",24.2023116240816,3.2228337507816,0.633546822417392,5.08697011293403,3.63829141968596e-07,0.000303142441088234
"Ttc30b_62618",215.052367726917,1.28075626602749,0.253106463129365,5.06014840629685,4.18930282333266e-07,0.000329708394319001
"Txnrd1_31483",156.019765119764,1.27980067762299,0.253283352503531,5.05284166911501,4.3528472605725e-07,0.000329708394319001
"Zfp992_80059",201.379091212217,-1.29874581806869,0.258166702574997,-5.03064804684257,4.8882475928045e-07,0.000354164164723888
"Plcb2_80702",866.098460769187,-0.616824584611542,0.127033390846011,-4.85560985583116,1.20016794899866e-06,0.000799983948084545
"Srp54a_80612",178.686810330094,-1.3001326676316,0.267687901942747,-4.85689737263385,1.19239354665294e-06,0.000799983948084545
"Ifit1bl1_54956",114.679743399898,-1.89927017270177,0.395229533311149,-4.8054864645111,1.54375682566414e-06,0.000989429374725662
"Heatr1_78361",243.712318980972,1.0048969817247,0.210919631206872,4.76435965668407,1.89454323336338e-06,0.00108864373933681
"Itgb3_78681",197.572785598127,-0.684057405375496,0.143489797278854,-4.76728951011142,1.86720906826636e-06,0.00108864373933681
