SampleID_BioSpyderCountFile,PlateBatch,MouseID,NumericID,Treatment,ID,Timepoint,Tissue,Group
Plate1-m13-RNA,Plate1,M13,13,PineNeedlesSmolder,M13_PineNeedlesSmolder,4h,Lung,PineNeedlesSmolder_4h_Lung
Plate2-m14-RNA,Plate2,M14,14,PineNeedlesSmolder,M14_PineNeedlesSmolder,4h,Lung,PineNeedlesSmolder_4h_Lung
Plate2-m15-RNA,Plate2,M15,15,PineNeedlesSmolder,M15_PineNeedlesSmolder,4h,Lung,PineNeedlesSmolder_4h_Lung
Plate2-m16-RNA,Plate2,M16,16,PineNeedlesSmolder,M16_PineNeedlesSmolder,4h,Lung,PineNeedlesSmolder_4h_Lung
Plate2-m17-RNA,Plate2,M17,17,PineNeedlesSmolder,M17_PineNeedlesSmolder,4h,Lung,PineNeedlesSmolder_4h_Lung
Plate2-m18-RNA,Plate2,M18,18,PineNeedlesSmolder,M18_PineNeedlesSmolder,4h,Lung,PineNeedlesSmolder_4h_Lung
Plate1-m49-RNA,Plate1,M49,49,PineNeedlesFlame,M49_PineNeedlesFlame,4h,Lung,PineNeedlesFlame_4h_Lung
Plate1-m50-RNA,Plate1,M50,50,PineNeedlesFlame,M50_PineNeedlesFlame,4h,Lung,PineNeedlesFlame_4h_Lung
Plate1-m51-RNA,Plate1,M51,51,PineNeedlesFlame,M51_PineNeedlesFlame,4h,Lung,PineNeedlesFlame_4h_Lung
Plate1-m52-RNA,Plate1,M52,52,PineNeedlesFlame,M52_PineNeedlesFlame,4h,Lung,PineNeedlesFlame_4h_Lung
Plate1-m53-RNA,Plate1,M53,53,PineNeedlesFlame,M53_PineNeedlesFlame,4h,Lung,PineNeedlesFlame_4h_Lung
Plate1-m54-RNA,Plate1,M54,54,PineNeedlesFlame,M54_PineNeedlesFlame,4h,Lung,PineNeedlesFlame_4h_Lung
Plate1-m31-RNA,Plate1,M31,31,Saline,M31_Saline,4h,Lung,Saline_4h_Lung
Plate1-m32-RNA,Plate1,M32,32,Saline,M32_Saline,4h,Lung,Saline_4h_Lung
Plate1-m33-RNA,Plate1,M33,33,Saline,M33_Saline,4h,Lung,Saline_4h_Lung
Plate1-m34-RNA,Plate1,M34,34,Saline,M34_Saline,4h,Lung,Saline_4h_Lung
Plate1-m35-RNA,Plate1,M35,35,Saline,M35_Saline,4h,Lung,Saline_4h_Lung
Plate1-m36-RNA,Plate1,M36,36,Saline,M36_Saline,4h,Lung,Saline_4h_Lung
Plate1-m67-RNA,Plate1,M67,67,LPS,M67_LPS,4h,Lung,LPS_4h_Lung
Plate1-m68-RNA,Plate1,M68,68,LPS,M68_LPS,4h,Lung,LPS_4h_Lung
Plate1-m69-RNA,Plate1,M69,69,LPS,M69_LPS,4h,Lung,LPS_4h_Lung
Plate1-m70-RNA,Plate1,M70,70,LPS,M70_LPS,4h,Lung,LPS_4h_Lung
