DTXSID,very_toxic,nontoxic,LD50_mgkg,EPA_category,GHS_category,casrn,mol_weight,LD50_LM
DTXSID00142939,TRUE,FALSE,32,1,2,1001-55-4,99.08899689,0.490875454
DTXSID00143108,FALSE,FALSE,620,3,4,10029-04-6,130.1430054,-0.677970858
DTXSID00143880,FALSE,FALSE,1600,3,4,10138-19-9,220.3560028,-0.860995097
DTXSID00144796,FALSE,FALSE,1500,3,4,102207-77-2,182.227005,-0.915478522
DTXSID00144933,FALSE,FALSE,820,3,4,10235-09-3,301.5400085,-0.43446891
DTXSID00146356,FALSE,FALSE,1800,3,4,10423-37-7,235.2859955,-0.883676427
DTXSID00147863,FALSE,FALSE,260,2,3,1070-42-4,206.9900055,-0.099023972
DTXSID00148532,FALSE,FALSE,1500,3,4,1084-23-7,228.2949982,-0.817594863
DTXSID00148976,FALSE,FALSE,900,3,4,109543-52-4,236.7200012,-0.580007555
DTXSID00149721,FALSE,FALSE,337,2,4,111753-73-2,337.375,0.000482997
DTXSID00150135,FALSE,TRUE,4000,3,5,112668-65-2,424.4530029,-0.974230381
DTXSID00150832,FALSE,TRUE,5600,4,5,1147-41-7,240.2579956,-1.367510177
DTXSID00150877,FALSE,FALSE,400,2,4,114834-06-9,176.1790009,-0.356105849
DTXSID00153101,FALSE,TRUE,2830,3,5,1210-05-5,210.2319946,-1.129087625
DTXSID00153924,TRUE,FALSE,24.6,1,2,123277-32-7,455.9299927,1.267963055
DTXSID00154133,FALSE,FALSE,500,2,4,123886-68-0,467.4030151,-0.029278495
DTXSID00155408,TRUE,FALSE,20,1,2,12712-28-6,271.1099854,1.132115518
DTXSID00156293,FALSE,FALSE,1290,3,4,13001-46-2,188.3399963,-0.835647153
DTXSID00156334,FALSE,TRUE,9212,4,5,13009-99-9,246.2799988,-1.572924787
DTXSID00156692,FALSE,FALSE,708,3,4,13071-27-7,368.5209961,-0.283571021
DTXSID00157427,FALSE,TRUE,2850,3,5,1322-12-9,198.2619934,-1.157605392
DTXSID00157588,FALSE,FALSE,374,2,4,132449-89-9,393.7399902,0.022337924
DTXSID00160254,FALSE,FALSE,72,2,3,13764-49-3,448,0.793945518
DTXSID00160395,FALSE,FALSE,126,2,3,13792-21-7,209.201004,0.220193219
DTXSID00162132,FALSE,TRUE,7000,4,5,14270-40-7,186.2299957,-1.575048407
DTXSID00162733,FALSE,FALSE,1030,3,4,1445-23-4,178.2749939,-0.761746794
