Chemical Name,Chemical ID,CAS RN,Gene Symbol,Gene ID,Interaction,Interaction Actions,Reference Count,Organism Count
Arsenic,D001151,7440-38-2,AACSP1,729522,Arsenic results in increased methylation of AACSP1 gene,increases^methylation,1,1
Arsenic,D001151,7440-38-2,AADACL2,344752,[sodium arsenate results in increased abundance of Arsenic] which results in decreased expression of AADACL2 mRNA,decreases^expression|increases^abundance,1,1
Arsenic,D001151,7440-38-2,AAGAB,79719,Arsenic affects the methylation of AAGAB gene,affects^methylation,1,1
Arsenic,D001151,7440-38-2,AAK1,22848,[sodium arsenate results in increased abundance of Arsenic] which results in decreased expression of AAK1 mRNA,decreases^expression|increases^abundance,1,1
Arsenic,D001151,7440-38-2,AAMDC,28971,Arsenic affects the methylation of AAMDC gene,affects^methylation,1,1
Arsenic,D001151,7440-38-2,AAR2,25980,Arsenic results in increased methylation of AAR2 promoter,increases^methylation,1,1
Arsenic,D001151,7440-38-2,AASS,10157,Arsenic results in decreased expression of AASS mRNA,decreases^expression,1,1
Arsenic,D001151,7440-38-2,ABCA1,19,ABCA1 protein affects the susceptibility to Arsenic,affects^response to substance,1,1
Arsenic,D001151,7440-38-2,ABCA12,26154,[sodium arsenate results in increased abundance of Arsenic] which results in decreased expression of ABCA12 mRNA,decreases^expression|increases^abundance,1,1
Arsenic,D001151,7440-38-2,ABCA2,20,Arsenic affects the methylation of ABCA2 gene,affects^methylation,1,1
Arsenic,D001151,7440-38-2,ABCA3,21,Arsenic affects the methylation of ABCA3 gene,affects^methylation,1,1
Arsenic,D001151,7440-38-2,ABCA5,23461,Arsenic affects the methylation of ABCA5 gene,affects^methylation,1,1
Arsenic,D001151,7440-38-2,ABCB1,5243,ABCB1 protein affects the susceptibility to Arsenic,affects^response to substance,1,1
Arsenic,D001151,7440-38-2,ABCB1,5243,ABCB1 protein results in increased export of Arsenic,increases^export,1,1
Arsenic,D001151,7440-38-2,ABCB9,23457,Arsenic affects the methylation of ABCB9 gene,affects^methylation,1,1
Arsenic,D001151,7440-38-2,ABCC1,4363,ABCC1 protein results in increased export of Arsenic,increases^export,1,1
Arsenic,D001151,7440-38-2,ABCC1,4363,Arsenic results in increased activity of ABCC1 protein,increases^activity,1,1
Arsenic,D001151,7440-38-2,ABCC1,4363,[Arsenic results in increased activity of ABCC1 protein] which results in increased export of Arsenic,increases^activity|increases^export,1,1
Arsenic,D001151,7440-38-2,ABCC1,4363,Arsenic results in increased expression of ABCC1 mRNA,increases^expression,1,1
Arsenic,D001151,7440-38-2,ABCC2,1244,ABCC2 protein results in increased transport of Arsenic,increases^transport,1,2
Arsenic,D001151,7440-38-2,ABCC2,1244,Arsenic results in increased expression of ABCC2,increases^expression,1,1
Arsenic,D001151,7440-38-2,ABCC2,1244,Arsenic results in increased expression of ABCC2 protein,increases^expression,1,1
Arsenic,D001151,7440-38-2,ABCC3,8714,[sodium arsenate results in increased abundance of Arsenic] which results in increased expression of ABCC3 mRNA,increases^abundance|increases^expression,1,1
Arsenic,D001151,7440-38-2,ABCC4,10257,ABCC4 protein results in increased transport of Arsenic,increases^transport,1,1
Arsenic,D001151,7440-38-2,ABCC4,10257,Arsenic affects the methylation of ABCC4 gene,affects^methylation,1,1
Arsenic,D001151,7440-38-2,ABCC4,10257,Arsenic results in increased expression of ABCC4 protein,increases^expression,1,1
Arsenic,D001151,7440-38-2,ABCC4,10257,oltipraz promotes the reaction [ABCC4 protein results in increased transport of Arsenic],increases^reaction|increases^transport,1,1
Arsenic,D001151,7440-38-2,ABCF2,10061,Arsenic affects the methylation of ABCF2 gene,affects^methylation,1,1
Arsenic,D001151,7440-38-2,ABCG4,64137,[sodium arsenate results in increased abundance of Arsenic] which results in decreased expression of ABCG4 mRNA,decreases^expression|increases^abundance,1,1
Arsenic,D001151,7440-38-2,ABCG5,64240,Arsenic affects the methylation of ABCG5 gene,affects^methylation,1,1
Arsenic,D001151,7440-38-2,ABHD12B,145447,[sodium arsenate results in increased abundance of Arsenic] which results in decreased expression of ABHD12B mRNA,decreases^expression|increases^abundance,1,1
Arsenic,D001151,7440-38-2,ABHD14A,25864,Arsenic affects the methylation of ABHD14A gene,affects^methylation,1,1
Arsenic,D001151,7440-38-2,ABHD17A,81926,Arsenic affects the expression of ABHD17A mRNA,affects^expression,1,1
Arsenic,D001151,7440-38-2,ABHD17A,81926,Arsenic affects the methylation of ABHD17A gene,affects^methylation,1,1
Arsenic,D001151,7440-38-2,ABI2,10152,Arsenic affects the methylation of ABI2 gene,affects^methylation,1,1
Arsenic,D001151,7440-38-2,ABI3BP,25890,[sodium arsenate results in increased abundance of Arsenic] which results in increased expression of ABI3BP mRNA,increases^abundance|increases^expression,1,1
Arsenic,D001151,7440-38-2,ABL2,27,[sodium arsenate results in increased abundance of Arsenic] which results in increased expression of ABL2 mRNA,increases^abundance|increases^expression,1,1
Arsenic,D001151,7440-38-2,ABLIM2,84448,Arsenic affects the methylation of ABLIM2 gene,affects^methylation,1,1
Arsenic,D001151,7440-38-2,ABLIM2,84448,[sodium arsenate results in increased abundance of Arsenic] which results in increased expression of ABLIM2 mRNA,increases^abundance|increases^expression,1,1
Arsenic,D001151,7440-38-2,ABP1,39520,Arsenic affects the methylation of ABP1 gene,affects^methylation,1,1
Arsenic,D001151,7440-38-2,ABR,29,Arsenic affects the methylation of ABR gene,affects^methylation,1,1
Arsenic,D001151,7440-38-2,ABR,29,Arsenic results in decreased methylation of ABR gene,decreases^methylation,1,1
Arsenic,D001151,7440-38-2,ABTB2,25841,Arsenic affects the methylation of ABTB2 gene,affects^methylation,1,1
Arsenic,D001151,7440-38-2,ACACA,31,Arsenic affects the methylation of ACACA gene,affects^methylation,1,1
Arsenic,D001151,7440-38-2,ACACB,32,Arsenic affects the methylation of ACACB gene,affects^methylation,1,1
Arsenic,D001151,7440-38-2,ACAD9,28976,Arsenic affects the methylation of ACAD9 gene,affects^methylation,1,1
Arsenic,D001151,7440-38-2,ACAD9,28976,[sodium arsenate results in increased abundance of Arsenic] which results in decreased expression of ACAD9 mRNA,decreases^expression|increases^abundance,1,1
Arsenic,D001151,7440-38-2,ACADS,35,Arsenic affects the methylation of ACADS gene,affects^methylation,1,1
Arsenic,D001151,7440-38-2,ACADVL,37,[sodium arsenate results in increased abundance of Arsenic] which results in decreased expression of ACADVL mRNA,decreases^expression|increases^abundance,1,1
Arsenic,D001151,7440-38-2,ACAP1,9744,[sodium arsenate results in increased abundance of Arsenic] which results in increased expression of ACAP1 mRNA,increases^abundance|increases^expression,1,1
Arsenic,D001151,7440-38-2,ACBD3,64746,Arsenic affects the methylation of ACBD3 gene,affects^methylation,1,1
Arsenic,D001151,7440-38-2,ACBD7,414149,Arsenic affects the methylation of ACBD7 gene,affects^methylation,1,1
Arsenic,D001151,7440-38-2,ACER1,125981,[sodium arsenate results in increased abundance of Arsenic] which results in decreased expression of ACER1 mRNA,decreases^expression|increases^abundance,1,1
Arsenic,D001151,7440-38-2,ACER3,55331,Arsenic results in decreased expression of ACER3 mRNA,decreases^expression,1,1
Arsenic,D001151,7440-38-2,ACER3,55331,[sodium arsenate results in increased abundance of Arsenic] which results in increased expression of ACER3 mRNA,increases^abundance|increases^expression,1,1
Arsenic,D001151,7440-38-2,ACHE,43,Arsenic results in decreased activity of ACHE protein,decreases^activity,2,2
Arsenic,D001151,7440-38-2,ACHE,43,Arsenic results in increased expression of ACHE mRNA,increases^expression,1,1
Arsenic,D001151,7440-38-2,ACHE,43,[Endosulfan co-treated with Arsenic] results in decreased activity of ACHE protein,affects^cotreatment|decreases^activity,1,1
Arsenic,D001151,7440-38-2,ACHE,43,[[sodium arsenite results in increased abundance of Arsenic] co-treated with [Sodium Fluoride results in increased abundance of Fluorides]] results in decreased activity of ACHE protein,affects^cotreatment|decreases^activity|increases^abundance,1,1
Arsenic,D001151,7440-38-2,ACKR2,1238,Arsenic affects the methylation of ACKR2 gene,affects^methylation,1,1
Arsenic,D001151,7440-38-2,ACKR2,1238,Arsenic results in decreased expression of ACKR2 mRNA,decreases^expression,1,1
Arsenic,D001151,7440-38-2,ACO1,48,Arsenic results in increased activity of ACO1 protein,increases^activity,1,1
Arsenic,D001151,7440-38-2,ACOD1,730249,Arsenic results in decreased expression of ACOD1 mRNA,decreases^expression,1,1
Arsenic,D001151,7440-38-2,ACOT4,122970,Arsenic affects the methylation of ACOT4 gene,affects^methylation,1,1
Arsenic,D001151,7440-38-2,ACOT6,641372,Arsenic affects the methylation of ACOT6 gene,affects^methylation,1,1
Arsenic,D001151,7440-38-2,ACOT7,11332,Arsenic affects the methylation of ACOT7 gene,affects^methylation,1,1
Arsenic,D001151,7440-38-2,ACOXL,55289,Arsenic affects the methylation of ACOXL gene,affects^methylation,1,1
Arsenic,D001151,7440-38-2,ACP3,55,Arsenic affects the methylation of ACP3 gene,affects^methylation,1,1
Arsenic,D001151,7440-38-2,ACP3,55,[sodium arsenate results in increased abundance of Arsenic] which results in decreased expression of ACP3 mRNA,decreases^expression|increases^abundance,1,1
Arsenic,D001151,7440-38-2,ACP7,390928,[sodium arsenate results in increased abundance of Arsenic] which results in decreased expression of ACP7 mRNA,decreases^expression|increases^abundance,1,1
Arsenic,D001151,7440-38-2,ACRBP,84519,Arsenic affects the methylation of ACRBP gene,affects^methylation,1,1
Arsenic,D001151,7440-38-2,ACSF3,197322,Arsenic affects the methylation of ACSF3 gene,affects^methylation,1,1
Arsenic,D001151,7440-38-2,ACSS3,79611,Arsenic affects the methylation of ACSS3 gene,affects^methylation,1,1
Arsenic,D001151,7440-38-2,ACT87E,48632,Arsenic results in decreased expression of ACT87E protein,decreases^expression,1,1
Arsenic,D001151,7440-38-2,ACTA1,58,Arsenic results in decreased expression of ACTA1 mRNA,decreases^expression,1,1
Arsenic,D001151,7440-38-2,ACTA2,59,Arsenic results in increased expression of ACTA2 mRNA,increases^expression,1,1
Arsenic,D001151,7440-38-2,ACTA2,59,Grape Seed Extract inhibits the reaction [Arsenic results in increased expression of ACTA2 mRNA],decreases^reaction|increases^expression,1,1
Arsenic,D001151,7440-38-2,ACTB,60,Arsenic results in decreased expression of ACTB mRNA,decreases^expression,1,1
Arsenic,D001151,7440-38-2,ACTL6A,86,Arsenic affects the methylation of ACTL6A gene,affects^methylation,1,1
Arsenic,D001151,7440-38-2,ACTN1,87,Arsenic affects the methylation of ACTN1 gene,affects^methylation,1,1
Arsenic,D001151,7440-38-2,ACVR1B,91,Arsenic affects the expression of ACVR1B protein,affects^expression,1,1
Arsenic,D001151,7440-38-2,ACVR2A,92,Arsenic affects the expression of ACVR2A protein,affects^expression,1,1
Arsenic,D001151,7440-38-2,ACVR2B,93,Arsenic affects the expression of ACVR2B protein,affects^expression,1,1
Arsenic,D001151,7440-38-2,ADA2,51816,Arsenic affects the methylation of ADA2 gene,affects^methylation,1,1
Arsenic,D001151,7440-38-2,ADAM10,102,Arsenic results in decreased expression of ADAM10 mRNA,decreases^expression,1,1
Arsenic,D001151,7440-38-2,ADAM17,6868,Arsenic results in decreased expression of ADAM17 mRNA,decreases^expression,1,1
Arsenic,D001151,7440-38-2,ADAM2,2515,Arsenic affects the methylation of ADAM2 gene,affects^methylation,1,1
Arsenic,D001151,7440-38-2,ADAMTS1,9510,Arsenic affects the methylation of ADAMTS1 gene,affects^methylation,1,1
Arsenic,D001151,7440-38-2,ADAMTS1,9510,[sodium arsenate results in increased abundance of Arsenic] which results in increased expression of ADAMTS1 mRNA,increases^abundance|increases^expression,1,1
Arsenic,D001151,7440-38-2,ADAMTS14,140766,Arsenic affects the methylation of ADAMTS14 gene,affects^methylation,1,1
Arsenic,D001151,7440-38-2,ADAMTS15,170689,Arsenic affects the methylation of ADAMTS15 gene,affects^methylation,1,1
Arsenic,D001151,7440-38-2,ADAMTS2,9509,Arsenic affects the methylation of ADAMTS2 gene,affects^methylation,1,1
Arsenic,D001151,7440-38-2,ADAMTS5,11096,Arsenic affects the methylation of ADAMTS5 gene,affects^methylation,1,1
Arsenic,D001151,7440-38-2,ADAMTSL1,92949,Arsenic affects the methylation of ADAMTSL1 gene,affects^methylation,1,1
Arsenic,D001151,7440-38-2,ADAMTSL2,9719,Arsenic affects the methylation of ADAMTSL2 gene,affects^methylation,1,1
Arsenic,D001151,7440-38-2,ADAMTSL4,54507,Arsenic affects the methylation of ADAMTSL4 gene,affects^methylation,1,1
Arsenic,D001151,7440-38-2,ADAMTSL5,339366,Arsenic affects the methylation of ADAMTSL5 gene,affects^methylation,1,1
Arsenic,D001151,7440-38-2,ADAP1,11033,Arsenic affects the methylation of ADAP1 gene,affects^methylation,1,1
Arsenic,D001151,7440-38-2,ADAP2,55803,Arsenic results in decreased expression of ADAP2 mRNA,decreases^expression,1,1
Arsenic,D001151,7440-38-2,ADAP2,55803,[sodium arsenate results in increased abundance of Arsenic] which results in decreased expression of ADAP2 mRNA,decreases^expression|increases^abundance,1,1
Arsenic,D001151,7440-38-2,ADCK2,90956,Arsenic affects the methylation of ADCK2 gene,affects^methylation,1,1
Arsenic,D001151,7440-38-2,ADCK5,203054,Arsenic affects the methylation of ADCK5 gene,affects^methylation,1,1
Arsenic,D001151,7440-38-2,ADCY2,108,Arsenic affects the methylation of ADCY2 gene,affects^methylation,1,1
Arsenic,D001151,7440-38-2,ADCY3,109,Arsenic affects the methylation of ADCY3 gene,affects^methylation,1,1
Arsenic,D001151,7440-38-2,ADCY6,112,Arsenic affects the methylation of ADCY6 gene,affects^methylation,1,1
Arsenic,D001151,7440-38-2,ADCY9,115,Arsenic affects the methylation of ADCY9 gene,affects^methylation,1,1
Arsenic,D001151,7440-38-2,ADCYAP1,116,Arsenic affects the methylation of ADCYAP1 gene,affects^methylation,1,1
Arsenic,D001151,7440-38-2,ADGB,79747,Arsenic affects the methylation of ADGB gene,affects^methylation,1,1
Arsenic,D001151,7440-38-2,ADGRA1,84435,Arsenic affects the methylation of ADGRA1 gene,affects^methylation,1,1
Arsenic,D001151,7440-38-2,ADGRB1,575,Arsenic affects the methylation of ADGRB1 gene,affects^methylation,1,1
Arsenic,D001151,7440-38-2,ADGRD1,283383,Arsenic affects the methylation of ADGRD1 gene,affects^methylation,1,1
Arsenic,D001151,7440-38-2,ADGRE1,2015,ADGRE1 mRNA results in decreased susceptibility to Arsenic,decreases^response to substance,1,1
Arsenic,D001151,7440-38-2,ADGRE4,52614,Arsenic results in decreased expression of ADGRE4 mRNA,decreases^expression,1,1
Arsenic,D001151,7440-38-2,ADGRF2,222611,Arsenic affects the methylation of ADGRF2 gene,affects^methylation,1,1
Arsenic,D001151,7440-38-2,ADGRG1,9289,Arsenic affects the expression of ADGRG1 mRNA,affects^expression,1,1
Arsenic,D001151,7440-38-2,ADGRG4,139378,Arsenic affects the methylation of ADGRG4 gene,affects^methylation,1,1
Arsenic,D001151,7440-38-2,ADGRL1,22859,[sodium arsenate results in increased abundance of Arsenic] which results in decreased expression of ADGRL1 mRNA,decreases^expression|increases^abundance,1,1
Arsenic,D001151,7440-38-2,ADGRL3,23284,Arsenic results in decreased expression of ADGRL3 mRNA,decreases^expression,1,1
Arsenic,D001151,7440-38-2,ADGRV1,84059,Arsenic affects the methylation of ADGRV1 gene,affects^methylation,1,1
Arsenic,D001151,7440-38-2,ADH7,131,[sodium arsenate results in increased abundance of Arsenic] which results in decreased expression of ADH7 mRNA,decreases^expression|increases^abundance,1,1
Arsenic,D001151,7440-38-2,ADIPOQ,9370,ADIPOQ gene SNP affects the susceptibility to Arsenic,affects^response to substance,1,1
Arsenic,D001151,7440-38-2,ADIPOQ,9370,Arsenic results in decreased expression of ADIPOQ protein,decreases^expression,1,1
Arsenic,D001151,7440-38-2,ADIPOQ,9370,Arsenic results in increased expression of ADIPOQ mRNA,increases^expression,1,1
Arsenic,D001151,7440-38-2,ADIPOQ,9370,T 0070907 promotes the reaction [Arsenic results in decreased expression of ADIPOQ protein],decreases^expression|increases^reaction,1,1
Arsenic,D001151,7440-38-2,ADIPOR2,79602,Arsenic affects the methylation of ADIPOR2 gene,affects^methylation,1,1
Arsenic,D001151,7440-38-2,ADIRF,10974,Arsenic affects the methylation of ADIRF gene,affects^methylation,1,1
Arsenic,D001151,7440-38-2,ADM,133,Arsenic results in increased methylation of ADM promoter,increases^methylation,1,1
Arsenic,D001151,7440-38-2,ADORA1,134,Arsenic results in increased expression of ADORA1 mRNA,increases^expression,1,1
Arsenic,D001151,7440-38-2,ADPGK,83440,Arsenic affects the methylation of ADPGK gene,affects^methylation,1,1
Arsenic,D001151,7440-38-2,ADPRM,56985,Arsenic affects the methylation of ADPRM gene,affects^methylation,1,1
Arsenic,D001151,7440-38-2,ADRA1B,147,Arsenic affects the methylation of ADRA1B gene,affects^methylation,1,1
Arsenic,D001151,7440-38-2,ADSS1,122622,Arsenic affects the methylation of ADSS1 gene,affects^methylation,1,1
Arsenic,D001151,7440-38-2,AFAP1,60312,Arsenic affects the methylation of AFAP1 gene,affects^methylation,1,1
Arsenic,D001151,7440-38-2,AFDN,4301,Arsenic affects the methylation of AFDN gene,affects^methylation,1,1
Arsenic,D001151,7440-38-2,AFF1,4299,Arsenic affects the methylation of AFF1 gene,affects^methylation,1,1
Arsenic,D001151,7440-38-2,AFF1,4299,Arsenic results in decreased methylation of AFF1 gene,decreases^methylation,1,1
Arsenic,D001151,7440-38-2,AFF1,4299,Arsenic results in increased expression of AFF1 mRNA,increases^expression,2,1
Arsenic,D001151,7440-38-2,AFF4,27125,Arsenic results in increased expression of AFF4 mRNA,increases^expression,1,1
Arsenic,D001151,7440-38-2,AGA,175,[sodium arsenate results in increased abundance of Arsenic] which results in decreased expression of AGA mRNA,decreases^expression|increases^abundance,1,1
Arsenic,D001151,7440-38-2,AGAP1,116987,Arsenic affects the methylation of AGAP1 gene,affects^methylation,1,1
Arsenic,D001151,7440-38-2,AGAP2,116986,Arsenic affects the methylation of AGAP2 gene,affects^methylation,1,1
Arsenic,D001151,7440-38-2,AGAP3,116988,Arsenic affects the methylation of AGAP3 gene,affects^methylation,1,1
Arsenic,D001151,7440-38-2,AGER,177,Arsenic results in increased expression of AGER protein,increases^expression,1,1
Arsenic,D001151,7440-38-2,AGGF1,55109,Arsenic affects the methylation of AGGF1 gene,affects^methylation,1,1
Arsenic,D001151,7440-38-2,AGK,55750,Arsenic affects the methylation of AGK gene,affects^methylation,1,1
Arsenic,D001151,7440-38-2,AGL,178,Arsenic affects the methylation of AGL gene,affects^methylation,1,1
Arsenic,D001151,7440-38-2,AGO2,27161,Arsenic affects the methylation of AGO2 gene,affects^methylation,2,1
Arsenic,D001151,7440-38-2,AGO2,27161,[sodium arsenate results in increased abundance of Arsenic] which results in increased expression of AGO2 mRNA,increases^abundance|increases^expression,1,1
Arsenic,D001151,7440-38-2,AGPAT1,10554,Arsenic affects the methylation of AGPAT1 gene,affects^methylation,1,1
Arsenic,D001151,7440-38-2,AGPAT3,56894,Arsenic affects the methylation of AGPAT3 gene,affects^methylation,1,1
Arsenic,D001151,7440-38-2,AGR2,10551,[sodium arsenate results in increased abundance of Arsenic] which results in decreased expression of AGR2 mRNA,decreases^expression|increases^abundance,1,1
Arsenic,D001151,7440-38-2,AGRN,375790,Arsenic affects the methylation of AGRN gene,affects^methylation,1,1
Arsenic,D001151,7440-38-2,AGRP,181,Arsenic affects the methylation of AGRP gene,affects^methylation,1,1
Arsenic,D001151,7440-38-2,AGTPBP1,23287,Arsenic affects the methylation of AGTPBP1 gene,affects^methylation,1,1
