ID_REF	GSM1150937	GSM1150938	GSM1150939	GSM1150940	GSM1150941	GSM1150942
10700001	5786.6	5830.08	5637.34	5313.33	5557.04	5469.9
10700002	192.92	206.86	220.83	183.12	177.16	198.64
10700003	1820.98	1795.79	1735.7	1578.02	1681.58	1632.2
10700004	66.95	65.61	64.41	60.19	60.41	60.67
10700005	770.07	753.41	731.2	684.53	657.25	667.66
10700006	5.8	5.35	5.48	5.58	5.39	5.35
10700007	8.01	6.75	7.01	7.06	6.76	6.74
10700008	5.49	4.46	4.49	4.74	4.05	4.3
10700009	534.35	549.35	589.37	450.04	455.08	523.15
10700010	13.61	12.82	13.72	12.38	12.36	12.4
10700011	47.12	51.29	53.09	44.84	43.74	47.18
10700012	35.34	32.95	34.53	31.43	31	31.85
10700013	3095.38	3032.31	2792.23	2894.7	2887.29	2882.09
10700014	1667.3	1546.08	1502.24	1420.62	1425.05	1446.65
10700015	560.08	557.76	592.63	456.45	453.89	524.28
10700016	5.95	5.3	5.53	5.5	5.44	5.48
10700017	126.89	129.95	136.5	115.1	114.32	125.19
10700018	4.77	4.6	4.54	4.57	4.56	4.44
10700019	6.63	6.19	6.33	5.99	6.14	5.91
10700020	4987.84	5371.09	5089.82	5050.81	4975.07	5216.62
10700021	4.75	4.72	4.82	4.54	4.53	4.75
10700022	537.96	487.88	471.91	422.36	367.73	478.74
10700023	37.3	37.23	40.09	35.96	33.74	35.21
10700024	5.28	4.99	5.02	5.03	4.95	4.96
10700025	4.83	4.72	4.8	4.77	4.72	4.68
10700026	345.76	390.73	405.98	326.15	321.94	362.67
10700027	320.91	313.93	309.08	263.85	283.2	285.56
10700028	12.57	12.11	12.03	12.05	11.55	11.24
10700029	8008.96	8345.02	7428.73	8602.26	8108.39	8044.57
10700030	235.37	264.3	268.11	217.06	218.73	239.95
10700031	96.56	103.74	104.18	91.33	90.39	97.52
10700032	529.2	556.36	579.35	452.11	452.93	516.18
10700033	9.11	8.7	8.65	8.69	8.42	8.6
10700034	708.49	744.91	778.55	604.08	614.96	699.8
10700035	7.35	6.83	6.89	6.84	6.48	6.56
10700036	5.25	4.93	4.98	4.91	4.93	4.92
10700037	18.11	18.46	19.02	16.37	16.79	16.94
10700038	285.02	307.57	322.32	263.1	271.25	294.9
10700039	117.25	130.39	140.75	107.74	111.58	121.44
10700040	820.31	801.83	743.7	775.97	716.39	724.27
10700041	9.23	8.68	9.11	8.74	8.65	8.17
10700042	10352.56	10308.88	9333.48	10389.22	10022.81	10114.24
10700043	293.51	323.82	334.63	264.26	276.74	301.01
10700044	52.97	55.66	56.62	47.95	48.96	51.51
10700045	1425.65	1390.03	1314.05	1282.46	1262.44	1284.51
10700046	494.73	530.2	558.7	441.23	438.78	496.35
10700047	83.16	88.27	95.2	77.2	77.6	83.41
10700048	5.76	5.19	5.21	5.3	5.19	5.14
10700049	5.05	4.8	4.93	4.87	4.81	4.79
10700050	5.5	5.21	5.29	5.13	5.09	5.13
10700051	361.32	398.09	404.8	336.33	335.07	371.33
10700052	24.94	25.89	26.42	24.86	24.47	25.25
10700053	243.34	264	273.46	222.02	224.87	250.59
10700054	20.03	19.91	21.36	18.95	19.25	19.54
10700055	847.45	823.06	798.59	737.99	770.8	749.7
10700056	6.64	5.81	6	6.35	6.06	5.93
10700057	5.19	4.59	4.67	4.4	4.36	4.87
10700058	10622.97	10826.66	10313.88	10228.45	10504.36	10271.08
10700059	49.86	47.7	47.29	45.2	44.51	44.25
10700060	184.2	202.31	212.31	175.46	177.46	188.03
10700061	583.59	616.57	648.05	513	514.12	575.14
10700062	1246.44	1152.54	1130.62	1068.52	1096.74	1082.24
10700064	161.35	150.04	141.68	128.56	136.5	126.78
10700065	296.63	284.04	280.58	227.95	255.74	254.67
10700066	66.63	65.4	63.91	58.53	58.98	56.64
10700067	265.45	267.65	244.13	213.49	240.6	235.44
10700068	781.33	714.12	637.05	596.48	571.78	630.63
10700069	523.18	585.49	630.22	492.37	581.9	497.1
10700070	121.02	139.63	138.75	141.99	175.18	136.03
10700071	182.27	236.65	240.92	175.07	206.2	213.37
10700072	86.03	58.42	54.37	74.78	77.75	93.8
10700073	232.56	151.68	196.48	283.03	208.7	212.86
10700074	86.86	61.83	69.8	23.06	38.48	35.8
